#Date: 9 June 2021
#Data extracted from tr20271121628.hld file
#T1(TRB=2) / T3(TRB=0) / T4(TRB=1)
#nEvent nTRB row col time(ns) charge(ns)
1 2 3 1 3814.41 1500.97 
1 2 4 1 3812.93 548.185 
1 0 1 3 3799.45 63.2745 
1 0 2 4 3818.44 1011.69 
1 1 1 7 3820.94 3229.95 
2 2 3 7 3804.37 548.404 
2 0 4 8 3807.77 237.788 
2 1 5 9 3810.85 252.073 
3 2 6 9 3809.17 1659.94 
3 0 4 9 3812.78 292.805 
3 1 3 9 3815.48 246.189 
4 2 4 8 3805.17 202.084 
4 0 4 10 3809.08 274.792 
4 1 3 12 3812.92 288.434 
5 2 3 5 3808.62 617.163 
5 0 2 6 3812.6 334.606 
5 1 1 5 3816.08 529.963 
6 2 2 8 3807.52 926.576 
6 0 2 5 3811.92 567.225 
6 1 2 4 3814.56 683.308 
7 2 10 4 3807.99 429.337 
7 0 5 4 3812.66 355.558 
7 1 1 3 3816 397.884 
8 2 3 2 3806.23 869.777 
8 0 3 6 3810.4 319.382 
8 1 3 10 3814.11 107.949 
9 2 9 7 3807.74 470.023 
9 0 8 9 3811.17 159.653 
9 1 6 11 3814.49 354.117 
10 2 2 10 3808.46 1024.92 
10 0 4 9 3812.36 320.713 
10 1 5 7 3815.29 418.927 
11 2 1 6 3808.11 831.229 
11 0 5 9 3811.19 441.075 
11 1 1 9 3814.34 50.727 
11 1 1 10 3815.07 323.563 
11 1 8 8 3814.92 251.393 
11 1 3 5 3814.78 1219.19 
12 2 6 11 3807.84 636.059 
12 0 7 10 3813.02 324.493 
12 1 7 8 3815.28 171.763 
13 2 3 11 3807.66 2381.84 
13 0 5 7 3810.79 155.361 
13 1 7 6 3814.65 251.957 
13 1 7 5 3814.62 58.7281 
13 1 8 6 3809.19 167.088 
13 1 8 5 3777.19 80.1915 
14 2 3 2 3809.04 949.589 
14 0 4 5 3813.41 270.844 
14 1 6 7 3816.31 158.408 
14 1 6 6 3816.27 29.8316 
15 2 5 10 3807.8 215.381 
15 0 4 10 3809.96 85.7384 
15 1 4 11 3812.99 272.367 
16 2 1 6 3809.73 2868.09 
16 0 4 8 3813.41 222.736 
16 1 4 12 3818.52 28.5676 
16 1 9 10 3780.19 10.0858 
16 1 8 11 3818.37 109.368 
16 1 8 10 3814.55 54872.7 
16 1 8 9 3805.97 32.1346 
16 1 7 10 3816.6 14.0268 
16 1 7 9 3817.94 35.3421 
17 2 8 12 3810.06 1145.15 
17 0 5 8 3814.19 375.312 
17 1 2 5 3817.48 82.9552 
17 1 3 5 3818.1 342.826 
18 2 6 4 3808.65 1021.27 
18 2 5 4 3809.43 502.005 
18 0 6 3 3792.13 258.111 
18 0 5 3 3813.43 398.713 
18 1 7 9 3738.67 194.43 
18 1 2 3 3815.01 106.29 
18 1 4 3 3815.24 292.158 
18 1 5 4 3816.94 636.123 
19 2 2 7 3804.16 873.546 
19 0 3 5 3808.45 481.517 
19 1 3 4 3811.65 200.212 
20 2 4 7 3804.6 134.062 
20 0 4 5 3809.04 669.379 
20 1 3 3 3812.21 571.517 
21 2 1 4 3821.43 1054.03 
21 0 4 8 3825.06 110.898 
21 0 3 9 3824.69 471.538 
21 0 6 10 3825.03 458.174 
21 0 3 5 3823.23 1095.17 
21 1 1 9 3827.44 2636.84 
22 2 3 11 3810.44 1505.44 
22 0 4 9 3813.87 396.793 
22 1 4 7 3817.3 385.639 
23 2 10 7 3808.23 1663.18 
23 0 9 4 3401.14 267.202 
23 1 8 1 3404.42 476.561 
24 2 10 7 3809.08 979.877 
24 0 10 9 3776.71 425.627 
24 1 10 11 3780.51 446.969 
24 1 8 11 3816.16 585.459 
25 2 3 8 3812.42 6615.71 
25 2 3 9 3813.25 13.2649 
25 2 2 8 3813.06 90.3312 
25 0 4 11 3816.9 222.33 
25 1 5 12 3820.65 193.161 
26 2 4 7 3812.53 276.503 
26 2 4 8 3812.24 453.833 
26 2 6 6 3813.11 2916.55 
26 0 4 6 3817.64 514.186 
26 0 5 4 3818.09 646.019 
26 1 2 7 3819.09 27.0204 
26 1 1 4 3820.75 631.17 
26 1 1 6 3819.24 2639.89 
26 1 2 6 3820.22 387.624 
26 1 3 6 3819.84 53.7707 
27 2 6 10 3811.17 853.571 
27 0 4 9 3814.99 428.093 
27 1 2 8 3818.82 337.668 
28 2 10 9 3810.1 657.144 
